Üniversite,Şehir,,,
Ondokuz Mayıs Üniversitesi,Samsun,,,
Samsun Üniversitesi,Samsun,,,
Siirt Üniversitesi,Siirt ,,,
Sinop Üniversitesi,Sinop,,,
Sivas Cumhuriyet Üniversitesi,Sivas,,,
Sivas Bilim ve Teknoloji Üniversitesi,Sivas,,,
Harran Üniversitesi,Şanlıurfa,,,
Şırnak Üniversitesi,Şırnak,,,
Tekirdağ Namık Kemal Üniversitesi,Tekirdağ,,,
Tokat Gaziosmanpaşa Üniversitesi,Tokat,,,
Karadeniz Teknik Üniversitesi ,Trabzon,,,
Avrasya Üniversitesi,Trabzon,,,
Trabzon Üniversitesi,Trabzon,,,
Munzur Üniversitesi,Tunceli,,,
Uşak Üniversitesi,Uşak,,,
Van Yüzüncü Yıl Üniversitesi,Van,,,
Yalova Üniversitesi,Yalova,,,
Yozgat Bozok Üniversitesi,Yozgat,,,
Zonguldak Bülent Ecevit Üniversitesi,Zonguldak,,,
