Üniversite,Şehir,Resmi Kuruluş Yılı,,
İstanbul Gelişim Üniversitesi,İstanbul,2011,,
İstanbul Kent Üniversitesi,İstanbul,2016,,
İstanbul Kültür Üniversitesi,İstanbul,1997,,
İstanbul Medeniyet Üniversitesi,İstanbul,2010,,
İstanbul Medipol Üniversitesi,İstanbul,2009,,
İstanbul Nişantaşı Üniversitesi,İstanbul,2009,,
İstanbul Okan Üniversitesi,İstanbul,1999,,
İstanbul Rumeli Üniversitesi,İstanbul,2015,,
İstanbul Sabahattin Zaim Üniversitesi,İstanbul,2010,,
İstanbul Sağlık ve Sosyal Bilimler Meslek Yüksekokulu,İstanbul,2010,,
İstanbul Sağlık ve Teknoloji Üniversitesi,İstanbul,2018,,
İstanbul Şişli Meslek Yüksekokulu,İstanbul,2012,,
İstanbul Teknik Üniversitesi,İstanbul,1944,,
İstanbul Ticaret Üniversitesi,İstanbul,2001,,
İstanbul Topkapı Üniversitesi,İstanbul,2016,,
İstanbul Üniversitesi,İstanbul,1933,,
İstanbul Üniversitesi-Cerrahpaşa,İstanbul,2018,,
İstanbul Yeni Yüzyıl Üniversitesi,İstanbul,2009,,
İstinye Üniversitesi,İstanbul,2015,,
İzmir Bakırçay Üniversitesi,İzmir,2016,,
İzmir Demokrasi Üniversitesi,İzmir,2016,,
İzmir Ekonomi Üniversitesi,İzmir,2001,,
İzmir Katip Çelebi Üniversitesi,İzmir,2010,,
İzmir Kavram Meslek Yüksekokulu,İzmir,2008,,
İzmir Tınaztepe Üniversitesi,İzmir,2018,,
İzmir Yüksek Teknoloji Enstitüsü,İzmir,1992,,
Kadir Has Üniversitesi,İstanbul ,1997,,
Kafkas Üniversitesi,Kars,1992,,
Kahramanmaraş İstiklal Üniversitesi,Kahramanmaraş,2018,,
Kahramanmaraş Sütçüimam Üniversitesi,Kahramanmaraş,1992,,
Kapadokya Üniversitesi,Nevşehir,2017,,
Karabük Üniversitesi,Karabük,2007,,
Karadeniz Teknik Üniversitesi,Trabzon,1955,,
Karamanoğlu Mehmetbey Üniversitesi,Karaman,2007,,
Kastamonu Üniversitesi,Kastamonu,2006,,
Kayseri Üniversitesi,Kayseri,2018,,
Kırıkkale Üniversitesi,Kırıkkale,1992,,
Kırklareli Üniversitesi,Kırklareli,2007,,
Kilis 7 Aralık Üniversitesi,Kilis,2007,,
Kocaeli Sağlık ve Teknoloji Üniversitesi,Kocaeli,2020,,
Kırşehir Ahi Evran Üniversitesi,Kırşehir,2006,,
Kocaeli Üniversitesi,Kocaeli,1992,,
Koç Üniversitesi,İstanbul,1993,,
Konya Gıda ve Tarım Üniversitesi,Konya,2013,,
Konya Teknik Üniversitesi,Konya,2018,,
KTO Karatay Üniversitesi,Konya,2009,,
Kütahya Dumlupınar Üniversitesi,Kütahya,1992,,
Kütahya Sağlık Bilimleri Üniversitesi,Kütahya,2018,,
Lokman Hekim Üniversitesi,Ankara,2018,,
Malatya Turgut Özal Üniversitesi,Malatya,2018,,
Maltepe Üniversitesi,İstanbul,1997,,
Manisa Celal Bayar Üniversitesi,Manisa,1992,,
Mardin Artuklu Üniversitesi,Mardin,2007,,
Marmara Üniversitesi,İstanbul,1982,,
MEF Üniversitesi,İstanbul,2012,,
Mersin Üniversitesi,Mersin,1992,,
Mimar Sinan Güzel Sanatlar Üniversitesi,İstanbul,1982,,
Mudanya Üniversitesi,Bursa,2022,,
Muğla Sıtkı Koçman Üniversitesi,Muğla,1992,,
Munzur Üniversitesi,Tunceli,2008,,
Muş Alparslan Üniversitesi,Muş,2007,,
Necmettin Erbakan Üniversitesi,Konya,2010,,
Nevşehir Hacı Bektaş Veli Üniversitesi,Nevşehir,2007,,
Niğde Ömer Halisdemir Üniversitesi,Niğde,1992,,
Nuh Naci Yazgan Üniversitesi,Kayseri,2009,,
Ondokuz Mayıs Üniversitesi,Samsun,1975,,
Ordu Üniversitesi,Ordu,2006,,
Orta Doğu Teknik Üniversitesi,Ankara,1959,,
Osmaniye Korkut Ata Üniversitesi,Osmaniye,2007,,
Ostim Teknik Üniversitesi,Ankara,2017,,
Özyeğin Üniversitesi,İstanbul,2007,,
Pamukkale Üniversitesi,Denizli,1992,,
Piri Reis Üniversitesi,İstanbul,2008,,
Recep Tayyip Erdoğan Üniversitesi,Rize,2006,,
Sabancı Üniversitesi,İstanbul,1996,,
Sağlık Bilimleri Üniversitesi,İstanbul,2015,,
Sakarya Uygulamalı Bilimler Üniversitesi,Sakarya,2018,,
Sakarya Üniversitesi,Sakarya,1992,,
Samsun Üniversitesi,Samsun,2018,,
Sanko Üniversitesi,Gaziantep,2013,,
Selçuk Üniversitesi,Konya,1975,,
Siirt Üniversitesi,Siirt ,2007,,
Sinop Üniversitesi,Sinop,2007,,
Sivas Bilim ve Teknoloji Üniversitesi,Sivas,2018,,
Sivas Cumhuriyet Üniversitesi,Sivas,1974,,
Süleyman Demirel Üniversitesi,Isparta,1992,,
Şırnak Üniversitesi,Şırnak,2008,,
Tarsus Üniversitesi,Mersin,2018,,
TED Üniversitesi,Ankara,2009,,
Tekirdağ Namık Kemal Üniversitesi,Tekirdağ,2006,,
TOBB Ekonomi ve Teknoloji Üniversitesi,Ankara,2003,,
Tokat Gaziosmanpaşa Üniversitesi,Tokat,1992,,
Toros Üniversitesi,Mersin,2009,,
Trabzon Üniversitesi,Trabzon,2018,,
Trakya Üniversitesi,Edirne,1982,,
Türk -Alman Üniversitesi,İstanbul,2010,,
Türk Hava Kurumu Üniversitesi,Ankara,2011,,
"Türkiye Uluslarası İslam, Bilim ve Teknoloji Üniversitesi",İstanbul,2015,,
Ufuk Üniversitesi,Ankara,1999,,
Uşak Üniversitesi,Uşak,2006,,
Üsküdar Üniversitesi,İstanbul,2011,,
Van Yüzüncü Yıl Üniversitesi,Van,1982,,
Yalova Üniversitesi,Yalova,2008,,
Yaşar Üniversitesi,İzmir,2001,,
Yeditepe Üniversitesi,İstanbul,1996,,
Yıldız Teknik Üniversitesi,İstanbul,1982,,
Yozgat Bozok Üniversitesi,Yozgat,2006,,
Yüksek İhtisas Üniversitesi,Ankara,2013,,
Zonguldak Bülent Ecevit Üniversitesi,Zonguldak,1992,,
